License Number,Company Name
403R-01347,Moore & Stratmoore Holding
403R-00546,Mountain High 14047
403R-01374,National Green Source
404R-00517,National Green Source
403R-00336,Nature's Gift Shop LLC
403R-00752,NewCo Ventures LLC
403R-01390,No Regerts Gardens
402R-00842,Nugro Industries Inc.
403R-00716,Nugro Industries Inc.
403R-00530,Nuvue Pharma LLC
404R-00137,Nuvue Pharma LLC
403R-01422,OG Farms LLC
403R-00757,Ohana Mauna Gardens LLC
404R-00527,Oil Well Industries
403R-01244,Ordway Express
403R-01133,Organic Solutions
403R-01254,Original Cannabis Growers
403R-01306,Ortiz & Fernandez Cannabis LLC (deleted)
403R-00942,Pagosa Craft/Joe Cal Ent.
404R-00482,Pagosa Craft/Joe Cal Ent.
403R-01368,Pakalolo Spirits
404R-00215,Palo Verde LLC
403R-00730,Pam's Farms LLC (deleted)
404R-00181,PBS Holdco LLC
403R-01251,Peak Mountain Services
403R-00301,PG Grow II LLC
404R-00164,PG Grow II LLC
403R-01339,Phoenix Farmstead LLC
403R-01088,"Plain Jane Organics, LLC"
404R-00199,Platinum Foods LLC
403R-00684,Polliwog Farms LLC
403R-00692,Pope Valley Farms LLC
403R-00885,Pope Valley Farms LLC
403R-00584,Pops Farm Inc
403R-01187,POTATO RIOS LLC
403R-00748,Power Plant Organics
403R-00919,Prime Farms LLC
403R-00773,PurGro
403R-01071,Purple Mountain Farm
403R-00918,Quality Choice
403R-01384,Rain Flower Farms
403R-01202,Revel Cultivars LLC (deleted)
403R-01081,RG Custom Grow
403R-00933,River Roots LLC
403R-01207,RJ Farmers LLC
403R-01253,Roasted LLC
404R-00471,Robhots
403R-01247,Rock Face Supply LLC
403R-00892,Rocky Mountain Tillage LLC
403R-00893,Rocky Mountain Tillage LLC
403R-00894,Rocky Mountain Tillage LLC
403R-00895,Rocky Mountain Tillage LLC
403R-01150,Rocky Mountain Tillage LLC
403R-01151,Rocky Mountain Tillage LLC
403R-00540,Sacco Solutions
403R-01095,Sample Farms LLC
403R-00573,SCG Holding LLC/Double Brow
403R-00811,Seven Leaves LLC - MIP
404R-00374,Seven Leaves LLC - MIP
402R-00668,Seven One Nine LLC (deleted)
403R-00834,Silver Lake Holdings
403R-01411,SkyHigh Dreams
403R-01260,Skyislimit LLC
403R-01084,Slow Burn Farms
403R-00706,Smile High Farms
403R-00947,SMJT
404R-00559,SMTG Holdings LLC
403R-01310,SoCo Industries
403R-00937,Spanish Peaks Growth Alliance LLC
403R-01249,Stargazer Farms
403R-00929,Statewide Supply
403R-00572,Stealth Farms LLC
402R-00673,Sticky Icky's
403R-00750,Sugar Magnolia Farms LLC (deleted)
403R-00872,Sunny Acres LLC
403R-00605,Sunstrain LLC
403R-01141,Sweetwater Group
403R-01099,"Tai Chi Brothers, LLC. (deleted)"
403R-01160,TBF Corporation
403R-00353,THCU
403R-01381,The Bud Club Inc
403R-00370,The Herbal Garden
403R-01124,The Herbal Garden
403R-00254,The Organic Seed
404R-00063,The Organic Seed
403R-00206,The Spot
403R-00552 ,Three Rivers
404R-00533,Timberline Extracts/David Jackson
403R-01208,TK New Horizon LLC
403R-01331,Toasted LLC
403R-01153,Tree Farmers LLC (deleted)
403R-00409,"TreeLine Holdings Co., Inc."
403R-00753,Trinidad Cultivation Services Inc
403R-00443,Trinidad Gardens
403R-01383,Twin Eagles Limited
403R-00320,Vision Quest Cannabis / Go Rule
403R-00999,Voodoo Stylee Natural Farms LLC
403R-00728,Walgro LLC
404R-00519,Walsenburg Cannabis (deleted)
403R-01138,Warrior Farms LLC
403R-00772,WeedCrumbs LLC
403R-01058,Wheeler Farms LLC
403R-00563,"White Meadows Cultivation, LLC"
402R-00830,Wild Wild Weed - Las Animas
404R-00314,Wolfe Xtracts LLC
403R-01009,Woodys Farm
403R-00741,"WOWI, LLC (deleted)"
403R-00661,Yeti Farms
404R-00277,Yeti Farms
403R-00901,Zapotk Corp
403R-01025,ZM Farms
